,היצע הסל הנדרש כמענה לצרכנים (בסיס + מורחב),,,,,
,,,,,,
,,,,,,
,,,,,,
תרחיש חיים של אזרח וותיק,באיזה סביבה הוא מתקיים,שירות שתומך בצורך פיזי,שירות שתומך בצורך חברתי,שירות שתומך בצורך כלכלי,שירות שתומך בצורך קוקנטיבי,שירות שתומך בצורך דגיטלי/טכנולוגי
מתקשר לחברים ומשפחה,בית ובחוץ,"מקשי טלפון גדולים(טלפון מונגש)
לקויות ראיה+שמיעה+קוגניטיבי",הדרכה/עידוד לבני משפחה ומטפלים עיקריים,הנחות לחב' תקשורת מותאמת,"תזכורת ליצירת קשר,נושאי שיחה",מוקד לתמיכה טכנולוגית 
"נפגש עם חברים מחוץ לבית
פרלמנט,קפה וכו')",מחוץ לבית,"• תפריטים מותאמים
• הסעות
• סיוע ליציאה מהבית(לבוש, מדרגות וכו')
","יצירת מרחבים מותאמים(קשר עם בתי קפה,מסעדות וכו')",תפריט מסובסד,"הדרכת צוות/מלצרים וכו'
התאמת תפריטים לדוג'-יותר ויזואלי",קב' וואצפ וברשתות חברתיות
אשפוז בבית חולים,בית חולים,בתי קפה מונגשים,,,,הנגשת מידע ומיצוי זכויות
אישפוז בית,בית,"הדרכה למטפל דרך גמלת סיעוד ולמשפחה+קשר עדכון ותוכנית עם צוות מטפל קופ""ח/בטל""א/רווחה
","קשר למתנדבים/בני נוער
בטל""א /רווחה",,"הדרכה למשפחה/מטפל עיקרי כולל מתן ""הפוגות"" למטפל העיקרי
",הנגשת מידע ומיצוי זכויות
טיפול ותיקון במכשירים אלקטרונים,בית ובחוץ,"אנשי מקצוע עם זמינות במגוון תחומים עם 
ידע בזיקנה(סבלנות,דיבור איטי וכו')",,מסובסד,"הדרכה וידע לאנשי מקצוע לגבי 
ירידה קוגנטיבית
","מאגר דיגיטלי של אנשי מקצוע
-פרסום ושיווק"
יציאה לחוגים,בחוץ,"• הסעות
• ליווי לצאת מהבית
• מותאם למצב תפקודי, חברתי, קוגניטיבי ,משפחתי  ורגשי
","התאמה חברתית לפי קב' תרבותיות כמו-דתיות,
חברה ערבית,תרבויות שונות",מסובסד,"חוג מותאם לאנשים עם ירידה
 קוגנטיבית","• מאגר
• חוגים
• פרסום ושיווק
"
יציאה למועדון,בחוץ,"• הסעות
• ליווי לצאת מהבית
• מותאם למצב תפקודי, חברתי, קוגניטיבי ,משפחתי  ורגשי
","התאמה חברתית לפי קב' תרבותיות כמו-דתיות,
חברה ערבית,תרבויות שונות",מסובסד,"חוג מותאם לאנשים עם ירידה
קוגנטיבית"," מאגר
• חוגים
• פרסום ושיווק
"
"הליכה להלוויה,ניחום אבלים",בחוץ,,,,,
הליכי לאירועי תרבות,בחוץ,"הסעות(תקציב),מקומות מונגשים","הקצאת מקומות ""יעודיים"" לדוגמא קרבה לשירותים+
קדמת במה,מעברים מונגשים
",סיבסוד,"חוג מותאם לאנשים עם ירידה
קוגנטיבית","פרסום ושיווק
מאגר אירועים"
,,,,,,
