מה היצע הסל הנדרש כמענה לצרכים(בסיס + מורחב),,,,,,
,,,,,,
,,,,,,
,,,,,,
תרחיש,סביבה,מענה לצורך פיזי,מענה לצורך חברתי,מענה לצורך כלכלי,מענה לצורך קוגנטיבי,מענה לצורך דיגיטלי/טכנולוגי
"הליכה לממ""ד/מקלט",בבית/בחוץ,"ניידות מעלית במהירות-
תאורת שכן מלווה חירום","שכנים שמלווים
יוצרים קשר","מענק להקמת ממ""ד","מוקד מידע
העלאת מודעות","*אפלקציות
*התראות
*שילוט והכוונה"
"יציאה לסידורים וטיפוח עצמי
",,,,,,
הליכה למקלחת ושירותים,,,,,,
טיפול בבן/ת זוג,בבית/בחוץ,"תמיכה כגון מתלים,מנופים
עובד זר,אחות מטפלת","  • קבוצת תמיכה
• מעקב אחיות
• מי יטפל במטפל

",,,
תחביבים בייתיים,,,,,,
"צורך רשתות חברתיות
ומשחקי מחשב",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
