,,קבוצה 1-מה היצע הסל הנדרש כמענה לצרכים (בסיס + מורחב),,,,,
,,,,,,,
,,,,,,,
,תרחיש חיים של אזרח ותיק,באיזה סביבה הוא מתקיים ,שירות שתומך בצורך פיזי,שירות שתומך בצורך חברתי,שירות שתומך בצורך כלכלי,שירות שתומך בצורך קוקנטיבי,שירות שתומך בצורך דידיטלי/טכנולוגי
,פעילות גופנית עצמית מחוץ לבית,בחוץ,"הקצאת מקום,הטבות למימוש הפעילות נגיש וזמין",קבוצות התעמלות מאורגנות,סיבסוד בעלויות,,פלטפורמות לחיבורים שעון חכם לניטור
,פעילות גופנית עצמית בתוך הבית,בתוך הבית,עזרים גומיה וכד' מנחה/מאמן אישי קבוע או הדרכה חד פעמית      ,ארוח של חוג מצומצם ביתי+מפגש חברתי,"עזרה במימון,רכישת עזרים+עלות
מאמן אישי 
",,יצירת מאגר שיעורים מוקלטים/זום מגוון ומותאם
,הכנת אוכל ובישול,בתוך הבית,"עזרים-הגבהה,תמיכה בכאבים/רעד ידיים.
חיישנים/בטיחות","סדנאות בישול -שיתוף מתכונים,אורח חיים בריא
תזונה נכונה+ייעוץ",עליות המלצה לניהול עלויות ,אדם שמסייע לתעד מתכונים דיגיטלי/ידני,כלי חיפוש מתכונים מותאמי גיל ותזונה
,ניקיון וסדר בבית,בתוך הבית,"• עזרי בטיחות 
• מודעות 
• סיוע אקטיבי
",המלצות על מנקה אמין,עזרה בעלויות כספיות,אדם שמסייע ביצירת ושימור סדר(ניירות),פלטפורמה לאיתור מנקים
,יציאה לקניות,בחוץ+אונליין,ניידות ונגישות עזרה בסחיבה,"שילוב של קניה כקבוצה,אדם שעוזר ומלווה","יעוץ קניה נבונה, ""קב' רכישה""
עלויות",,"כלי לקניה נכונה,השוואתי"
,הזמנת שירותים רפואיים,בחוץ+בפנים,"דיילת שתסייע בזימון,מתאם טיפול שיקבע
עבורו",,בעלויות עזרה רפואה פרטית,"כלי לניהול תורים ולו""ז/משימות","כלי לניהול תורים ולו""ז/משימות"
,יציאה לבדיקות רפואיות,מחוץ לבית קרוב/רחוק,"תחב""צ,מונית שירות הסעות,רכב מותאם 
עזרי ניידות",,עזרה עלויות הסעות,כלי שמסייע להתמצאות במרחב,כלי שמסייע להתמצאות במרחב
,מארח משפחה/חברין,בתוך הבית,,,עזרה עלויות כספיות,,
,מתארח אצל משפחה/חברים,מחוץ לבית/עיר,"ניידות-תחב""צ נגיש וזמין",,,,אוריינות דיגיטלית
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
טלפוני,,,,,,,
דיגיטלי,,,,,,,
פיזי,,,,,,,
