פעילות סיכום ואינטגרציה-גיבוש הפיילוט,,,,,
,,,,,
שלב 1-גיבוש עקרונות מנחים לפיילוט,,,,,
,,,,,
עקרון מנחה,תיאור העקרון,"יעד ואיך מודדים,KPI",,,
מדידה ומשוב,"שיקוף,המלצה לפעולה,היזון חוזר למול יעדים לאזרח ולבעל התפקיד",,,,
גמישות,"גיוון סל,התאמות ושינויים לאורך הדרך בסיסי ומודולרי",ניצול מיטבי הרחבת הסל,,,
התאמה אישית,"מגוון אוכלסיות-מגוון מטפלים ,מגוון שירותים",,,,
בחירה ועצמאות,בניית תוכנית אישית וליווי המימוש בפועל,מימוש יחודית השתתפות בפעילות,,,
מניעת הדרדרות,מדידת מצב רפואי ותפקודי,"רמת שבריריות,מצב רמת תפקוד 
אשפוזים",,,
עבודה עם פונקציות קיימות ,הכשרת בעלי תפקידים,,,,
הלקוח במרכז,"נקודת המבט שלו/ה קריטיים למדידת הצלחה,שימור והגבלת פעילות","שביעות רצון,תחושת מסוגלות
דיווח עצמי/בני משפחה,גורם מטפל/שייכות ומשמעות",,,
משתתפים ממליצים,הפניות משתתפים חדשים דרך מכרים,רמות הפניות מאזרחים,,,
רמזור אבחנתי,"זיהוי מוטיבציות,גזירת תהליכי ושגרת מעקב ופעולה פרואקטיבית
של המלווה",משולב בתהליך תאום תור בקופה,,,
שילוב בין אנושי לדיגיטלי,בסל נקודה לפי הצורך וההעדפה,,,,
,,,,,
,,,,,
,,,,,
שלב 2-זיהוי אתגרים והזדמנויות,,,,,
,,,,,
,,,,,
האתגר,תיאור האתגר,דרכים להתמודד עם האתגר,,,
מודל עיסקי,"הכנסה של יותר שותפים:קופ""ח,חברות סיעוד,רשות מקומית",מבחן תמיכה במעבר בין רמות הזדקנות,,,
טכנולוגיה ודאטה,"אילו טכנולוגית קיימות בהן
אפשר להשתמש ומה הזמן הנכון לפתח פלטפורמה יעודית",,,,
עומק מעורבות בריאותית,"עבודה מול קופ""ח
מוסכם:אוריינות בריאותית ואוריינות דיגיטלית",,,,
