בניית פרסונות של נותני השירותים,,,,
,,,,
,,,,
תפקיד ופרסונה:מלווה חברה,,,,
,,,,
,,,,
מאפיין,פירוט,,,
שם הפרסונה,,,,
הגדרת תפקיד,העצמה לאזרח והענקת תחושת משמעות אישית ומשמעות שלו בקהילה,,,
תחומי אחריות עיקריים,"יצירת קשר ראשוני, intake לבד או משותף?
מעקב אחר ההצטרפות הראשונית ,מעקב אחר ההתמדה בשיחה שבועית
6 בשבוע,עדכון תוכנית פר אזרח לאורך זמן
",,,
היקף פעילות,"קשר עם בני המשפחה בני/ות זוג  ורתימתם להנעת האזרח,עבודה עם
 מתנדבים.שיחות שבועיות,פגישות פרונטלית ,לקוחות50-55  
",,,
כישורים ויכולות נדרשות,"ורסטיליות,יצירת קשר בין אישי עם הגורם הגיל השלישי,חמלה,יכולת 
הקשבה,אמפתיה,עבודה עם מערכת  crm  ",,,
הכשרה נדרשת,הכשרה של גרנטולוגית,,,
אתגרים מרכזיים בתפקיד,"הצפה רגשית(הכלת הסיפורים)אתגרי ידע(מעבירה הלאה)
רתימה של הזקנים,גבולות של זמן,מגבלות התפקיד,גיוון במענה
התמודדות עם התנגדות,עם גברים יותר קשה,הצפת דגלים אדומים(מערכת)",,,
ציפיות מהתפקיד,,,,
מאפיינים אישיים רלוונטים,"יכולה להוביל אנשים לשינוי,בגרות",,,
נסיון,"לא עניין של גיל,לא בהכרח עו""ס",,,
שותפות עם גורמים נוספים,"רכזת מלווים,קופ""ח,נותן שירות,מרכז קהילתי",,,
מדדים להצלחה,"כמות הפעילויות הנוספות לקשיש בתקופה X(התמדה)
שיפור בממדים תפקודיים,דבקות ביישום תוכנית התערבות
אזרח ובני משפחה סקר שביעות רצון מהמלווה+דיווח עצמי של האזרח על השיפור",,,
,,,,
,,,,
,,,,
אפיון והגדרת הפרסונה-טמפלט,,,,
,,,,
"רקע,גיל,מצב משפחתי,השכלה,עיסוק,
האישיות שלה,תחביבים-  40+ גימלאות בשלות",",",,,
