,תהליכי עבודה שיתמכו בהספקת השירותים לאזרחים הוותיקים,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"גופים/גורמים
ספקים/נותני שירותים",תחום אחריותם,מה הדרישות שלנו מהם?,,,ממשקים ונק' חפיפה בין גורמים שדורשים תאום,מה נדרש כדי להבטיח עבודה רציפה מסוכרנת ומיטבית בין גורמים,,,,,,,,,,
רשות מקומית,"הוצאה בפועל ברשות 
את המדיניות של השירותים
יצירת התקשרות מקומית","בקרת איכות על השירותים,
סל מגוון ולא בניגוד עניינים",,,"מפעיל הקהילה
חברת סיעוד","תיאום תוך רשותי לגבי
פריסת השירותים בקהילה",,,,,,,,,,
"מפעיל הקהילה מגזר שלישי/עסקי/
חברות סיעוד","מיפוי הצרכים המקומיים,
מתן מענה,מלווה חברתי,
יושב תחת קהילה תומכות",שיקום אחרי משבר בריאותי,,,"ביטוח לאומי
חברות סיעוד","מדדי הצלחה מעודכנים
לשירות החדש",,,,,,,,,,
נותני השירותים בסל,"לתת שירות מיטיבי,לסייע
במניעה ובמענה לצורך",,,,"רשות מקומית,משרד רווחה,ביטוח לאומי,בריאות-ברק","תיאום בין הגורמים בהיבט
מאקרו: אכיפה של מדיניות",,,,,,,,,,
נותני שירותים בסל ארצי,ועדת סל ארצי,,,,,,,,,,,,,,,
פלטפורמה דיגיטלית,"לתת שירות לקהילה
חיבור ניהול לספקים
מדידה
התאמה
הנגשת מידע לשחקנים
ארנק דיגיטלי",,,,,,,,,,,,,,,
חברות סיעוד,,"לא להפריע,לעמוד בלוז ומדדים
גיוון שירותים",,,,,,,,,,,,,,
"חברות ביטוח סיעוד פרטי(דרך
קופ""ח)",,,,,,,,,,,,,,,,
"קופ""ח","מדידה,שילוב דאטה,
שילוב מתאם טיפול ומניעה
הפניה ודגלים אדומים
להות טריגרים ומידע",,,,,,,,,,,,,,,
"משרדים:ועדת סל ארצי ומקומי
ועדת רכש ארצי ומקומי


","מדיניות,בקרה ומדידה",,,,,,,,,,,,,,,
קהילות תומכות,"חיבור בין השירותים
ברשויות חברות סיעוד
",,,,,,,,,,,,,,,
האזרח הותיק ומשפחתן,"טופס וס""ר
להכיר ולצרוך שירותים",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
