שירות,,גורמים משלימים,,,ערך מוסף ושילוב בקיים,
"שירותי פנאי
משמעותי+
התנדבות",,"האזרחים הוותיקים
עצמם מפעילים את 
השירותים",,,"העלאת מוערבות של אזרחים ותיקים,העצמה",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"שירותי פנאי 
והפגת 
בדידות",,"פעילויות רב גילאיות בקהילה-סטודנטים
ילדים(גני ילדים)
סבים ונכדים",,,,
,,,,,"חיזוק הקשר הקשר הגילאי וחיזוק תחושת השייכות
בקהילה",
,,,,,,
,,,,,,
,,,,,,
כלל הסל,,"מחשבה על המשמעות הכלכלית של כוח הקנייה,מקדם התאמת
ושיפור השירותים",,,,
,,,,,"מועדון חבר לאזרחים ותיקים
עסקים מתאימים את עצמם לאזרחים ותיקים",
,,,,,,
,,,,,,
